# BRANCH-ARCHIVE-SNAPSHOT-2026-09-15
# DO NOT MERGE THIS ARCHIVE BRANCH INTO main
# canonical_main=bb6f4639fbf1098f131e579dedbb610e0e7c7d97
# branch_count_before=288
# historical_branch_count=287
# unique_historical_tip_count=223
# open_pull_requests=0
# Each historical tip is retained as an ancestor of the archive snapshot DAG.
branch	sha	protected
tmp-db-pkk-005-narrative-helper	be899a81d0b8b9a234dac6ef6fcc37ab9a97dd17	false
tmp-db-pkk-006-central-helper	fb4b1ad55872d9499fec64a5e6f01677c265c813	false
tmp-db-pkk-006-machine-helper	8b7c8ad023a8f62e27d62d0429d4afe94a088267	false
tmp-db-pkk-006-narrative-helper	d5218e3e7e0345f5647bd11c7a3abae854aeebcf	false
tmp-db-pkk-007-central-helper	4b86c26f981f2f1cf9065f65e2840e2c42d21e88	false
tmp-db-pkk-007-machine-helper	deb1ba1f3c150f0e1dfbdc61d711d010b4fcca8f	false
tmp-db-pkk-007-narrative-helper	c7e0bc3931cc3f12aeecf6db2cdcd2a1535dcb2a	false
tmp-db-pkk-008-central-helper	a15e373c1fe737b37e8b180e5ae0c8bc315c7bb2	false
tmp-db-pkk-008-machine-helper	8d35d536fb1b15612a930bc3e404469415ed3924	false
tmp-db-pkk-008-narrative-helper	a4bb53f23ceb91b4215d587b67d709e1437d14ac	false
tmp-db-tst-001-central-validation-20260910	f839b4f50ac77c301f2ba9767c8eee0ec833e482	false
tmp-db-tst-001-machine-validation-20260910	83d46eb94eb82ec05a8e594512cd4b82f9465c76	false
tmp-db-tst-001-narrative-validation-20260910	2d68c9500edf8417cf2d5e5cc5f5d486d9b9be63	false
tmp-db-tst-002-central-validation-20260910-v2	e3766dc6eb4c1630dcee70998d2fcc7b80924a9b	false
tmp-db-tst-002-discovery-20260910	b7ce3d60597446667fc8e0a78a0cc146f83e260e	false
tmp-db-tst-002-machine-pointer-correction-20260910	fea771bf6bfcfefb0d273605008bbc20d740980a	false
tmp-db-tst-002-machine-validation-20260910	7fe7dc1ef76a8a95fcc7aedf247a09f15e0ff819	false
tmp-db-tst-002-narrative-validation-20260910	b64b811e5e2d69852f51a6f194af011837cb1f8b	false
